fecha_publicacion,termino,vistas,text,idioma,polaridad,num_palabras
2024-06-11,crítica_de,263600,seguro haber oer hablar pequeño john acero galvanizado tía venir desmontar historia pequeño john casa construcción factible aparte sentir engañado mayoría vídeo ah construir casa 0 metro cuadrado gel construir 3 metro cuadrados vídeo sentido número 1 pequeño john decidir tornillo prestado tía acero cuadrado galvanizado poner mesa cama 40 kilo tabla madera ecológico atado pared tornillo estudiar aguantar pequeño john invéntatir tornillo casa sostenible sitio situar retrete servicio baño baño suelo país decir desficar radete cuidado cuidado baño armario suponer tener baño chaqueta apestar poner cristal separar olor humedad ropa aí quedar gustado olor caca hablar baño comentamos ducha valer pequeño john soler ducha pegado pared salir cocina cocina inducción referir duchar mojar casa pon pared poner nervioso suelo madera mojar ah pensar suelo madera orificio eliminar agua pequeño john piénsalo tema cocina pequeño john tanto colcha temporada referir estar casa metro cuadrado manta sobra referir lava hablar enchuf mágico pequeño john gana poner enchufe carrar teléfono móvil pared pequeño john electricidad referir poner enchufe armario estante pared quedado calle pequeño john mirar típico electricidad agua esperar ocurrir sacar proyecto realista funcionir eh real vídeo hate admitir 100% adictar vídeo parir verlo casa metro cuadrado metro cuadrado casa redondo casa alcantarilla querer tía águila gatito vida esperar pequeño john feliz adiós,es,0,212
2023-07-19,#reseña,570,peseña crudo salir barbie película gracias warner bro invitación perdón barbie barbie estereotípico sabrío esvarni vivir equivocar varni morar empezar pensamiento existencialista desarrollar traer desequilibrio mundo barbi reparar él derrasgo historia alejandro barbie estereotípico decir barbie estereotípico entrar confusión realmente cambio generar vida cagado vender película película ay viaje nostalgia suponer película joven niña problema película película aspecto trascendental niño divertir forma gracioso romper cuerda chingo tomar libertad chiste producto matel película reír matel reír película poner meta estética bello obviamente reproducción ciudad ver barbiar casa sueño directora greta gerwig recordar película lady bird versión mujercita sentir terminar él momento acabar película empezar diálogo acá filosófico magelion ándale parecer barbie gelion poner barbie gelion mensaje lugar ejemplo mensaje integración mensaje volver cosa punto introducción película volver cosa reflejo mundo real cambiar ver película agarrir sentido película divertido llegar cero ryar gosling margot robbie sorpresa personal ver aparecer película menidivertido recomeir película crecer 80s 90s ah tener juguete tener juguete tener juguete clase película vengar ver él ánimo película dar 16 15 20 cosilla decir público general gustar decir basar estética enemigo greta gerwig final terminar película elemento toma dejar cuenta cosa resolver cosa desperdecir llegar disilusionante grado poner 3 5 ah bajastir esperar recordar seguirno descansaro salón leoguerdo instagram facebook twitter tiktok plataforma transmitimos twitch tiktok tostador casa,es,0,218
2023-12-25,#opinion,133900,opinión opinión hablar opinión oir opinión gustar opinar opinión corto corto pensar alguien pasar opinión opinión opinión oir oir oir opinión preguntar opinión preguntar opinión acerca opinión bonita opinión época soportar gente soportar opinión pensar persona enojar enojar enogir opinión enojar él ignorar opinión fácil alguien enojarar opinión encantar chocolate ajá opinión chocolate caca chocolate meter chocolate ir comer chocolate dividir opinión constructiva destructiva dividir positiva negativo fácil fácil opinión constructivo positivo estar alguien fácil positivo oir ayudar dibujo bonito oir bonito malo ayudar mejorar persona caso ayudar dibujo bonito oir bonito pasar dibujar bonito bonito bonito bonito,es,0,98
2023-02-09,#reseña,541100,starbucks comprar josán pan chocolate chocolate ay vean manch ver deplorable vean presentación costar 45 pesos basura dio gente quejar comprar él artesano 45 60 pesos starbucks marca presumir vean ver realmente fatal mantojar vean basura laminado oler sentir olor mantequilla sentir olor josán obviamente laminado tiempo congelado vean sentir amiga agomós compra pan calidad lugar aspecto bonito subir foto bonito amar basura,es,0,63
2023-09-07,lo_malo_de_iphone,30700,contar iphone 14 pro teléfono año octubre cosa teléfono tener pegado fome p teléfono batería iphone 11 teléfono salir tener principio durar entero batería jurar ocaber tener durar batería julio 100% batería durar mes condición 100% batería pasar 96 96 teléfono febrero micrófono abajo teléfono echar perder funcionar pensar culpa poner lugar polvo saber mojado teléfono agua tener servicio técnico tanto paja prácticamente culpa culpa teléfono arreglar claramente gratis apple tenéis garantía año arreglar teléfono falla teléfono opción comprar él teléfono salir 15 probablemente 15 recomeir video youtube arto video quedar él opinión teléfono encantar encantar porte encantar cámara cámara amar estéticamente teléfono lindo amar teléfono resistente caer caer romper romper cámara ver afectar rayita pequeño opinión,es,0,117
2024-07-30,lo_malo_de_ipn,238,pasar plantel politécnico quitar comic pems esperar información oficial cep politécnico comic pems pasar plantel prepa chs seguir examen vocacional información vas ingresar vocacional promedio ubicación examen dato esperar interesar politécnico vocacional dale clic seguir,es,0,35
2024-04-05,debate_de,31900,dejar ridículo legislador chileno vivo perú fan expansionista ay contestar brevemente favor pregunta particularmente fan expansionista actitud odiós chile rearme fuerza armadas rambar ejército expandirno chile respondo recién hablé amigo presidente milay confirmar intención colonizar chile decir quedar favor tranquilo alto funcionario gobierno contestar leo textualmente digámos defensor soberanía chino contestar ja ja ja ja ja ja ja ja mayúsculo ja ja ja ja ja tranquilo intención invadar,es,0,68
2024-07-23,#opinion,16300,conseguir feminista feminista entender igualdad derecho hombre mujer conseguir mujer sumiso calle gritar clavo cosa tremendo raro raro pablo pedir cosa comer dejar padre hora,es,0,25
2024-07-25,crítica_de,89400,cirugía quitar gorda feo doler poner atacar decir operar quedo 100 bonito considerar bonito decir cambio hagar cirugía vas quedar camarona quitar cabeza criticar bonito criticar feo difícil,es,0,28
2024-11-05,debate_de,79200,querer empleado doméstico decir hombre decir preguntar limpiar perfecto pagar estar hombre pondrir blanco pagar trabajo ir desear mujer desear mujer salida laboral serio vo sos emplear doméstico,es,0,28
