fecha_publicacion,termino,vistas,url,titulo,hashtags,descargado,text,idioma,polaridad
2023-10-17,lo_malo_de_iphone,348700,https://www.tiktok.com/@germanmauricioosorio/video/7291097211579026693,,"#apple,#iphone15promax,#fypシ,#empresario,#marketing,#negocios",True," Hace menos de 20 días subí orgulloso un vídeo donde estaba comprando el iPhone 15. ¿Qué desilusión? Si estás pensando comprarlo no lo hagas. Resulta que los señores por la demanda que tuvieron los obligaron a cambiar el puerto C para que fuera universal y digamos que no contaminara el mundo con tanto desecho plástico. Pues resulta que los señores de iPhone hicieron caso y cambiaron el puerto C. Por un tema de un viaje internacional que tiene eso ad vivo se me quedó el conector original y llegué al hotel sin carga y le pedí al administrador que tenía un cable tipo C. Me dijo sí, dije perfecto, lo conecto. Oh my god. Al otro día el teléfono amaneció con la pantalla así, negra. ¿Qué pasó? Pues resulta que los señores de iPhone, si bien es cierto cambiaron, le pusieron un chif para que solamente fueran cables autorizados por la compañía iPhone. Es decir, que se jodió mi teléfono. Lo llevé por garantía con veinte días y me dijeron en la tienda eShop, señor, no le podemos responder porque usted conectó con un cargador equivocado su teléfono. Por dios señores de iPhone. No sé qué seguramente ni van a ver mi vídeo, pero sí quiero invitar a las personas que estaban pensando comprar esta marca, que esta marca es una mierda. Llevaba tres años sin cambiar el celular y creo que otras opciones son mucho mejores en el mercado. Qué tristeza. Hoy no digo pa'elante, emprendedor.",es,NEG
2024-01-29,lo_malo_de_iphone,213400,https://www.tiktok.com/@eldelgorritoazull/video/7329620252176796933,,"#eldelgorritoazul,#iphone,#desventajas,#celulares,#confirmen,#tendenciatiktok,#venezuela🇻🇪",True," Las ventajas de tener un iPhone Número 1 Una persona que tiene iPhone cree que la manzanita le destata a tu social De repente se siente más rico, más poderoso Pero la verdad es que el 90% de las personas que tienen iPhone no tienen saldo Y el iPhone necesita saldo a tapa de bloquearlo Si vas a usar la calculadora, necesita saldo Si vas a escuchar música, saldo Si pones la alarma y no tienes saldo, no suena Tener un iPhone sin saldo es como un hombre sin trabajo, no sirve para nada Número 2 La batería te durará menos de lo que duraba tu ex en la cama Mmmhmm Eso es una cosa increíble Se carga toda la noche y se descarga antes del desayuno No te dura una mierda Y todavía hay gente que dice iPhone es el mejor Córmate uno con la manzanita Este celular es una maravilla No tengo saldo ni batería, pero tengo estatus Callate la boca Sigue siendo pobre, es solo que ahora con un iPhone que no sabes ni usar Número 3 Esto no es una desventaja, pero yo igual lo voy a decir Porque este es mi video y en mi video yo hablo lo que se me da la gana Y soporten ¿Cómo es que tienes un iPhone 19 Pro Max y andas en autobús? Explícame, ¿Hay algo que no cuadra? Vende ese teléfono y compres un carro Deje la mentalidad de pobreza para rentarse rica ¿Qué hace tú con un celular que vale 3.000 dólares y monta en un taxi que con tu y chofer te vale 2.000 dólares? Comprate el carro con el chofer adentro No quiero que me te jande coco con tu iPhone 23 Pro Max Ultra Galáctico en el autobús Abro paréntesis ¡Saludo! Cierro paréntesis Déjame los comentarios que tipo de celular tienes",es,NEG
2024-06-28,lo_malo_de_iphone,165,https://www.tiktok.com/@falcortz14/video/7385693901283167493,,,True," 5. 7. Vengo con la muerte, virus infectado.",es,NEG
2024-06-28,lo_malo_de_iphone,22,https://www.tiktok.com/@venusarellano29/video/7385773840422440198,,,True, King of King of Rock of Rock Rock Rock,en,
2024-06-05,lo_malo_de_iphone,104800,https://www.tiktok.com/@ariess31930/video/7377117613983370501,,"#fyp,#iphone15promax,#iphone",True," Alguien me puede explicar como carajos es que yo compre un iPhone 15 Pro Max hace 9 meses. 9 meses, ni siquiera un año. ¿Adivinen en cuanto está la condición de la batería? ¡Adivinen! Pero antes de adivinar, tengan en cuenta estos factores. Cuido demasiado mi celular con la batería. Nunca utilizo un cargador que no sea el original. Y tampoco utilizo un adaptador que no le convenga a mi celular. Ni un cable tampoco. No lo dejo cargando toda la noche. Y tampoco lo cargo en el carro. Están 92. 92? 92, ¿qué papi? ¿Escupe? Y yo no sé a quién le parezcan normal que un celular con menos de un año de uso tenga ya 92 de batería en la condición. Pero yo, yo tuve un iPhone 13 Pro Max por más de un año. Estaba en 98 la batería. 98. Yo no sé, es que esta gente de Apple se puso a inventar con este titanio, esto de lo que está hecho y no sirve para... O sea, para lo que cuesta, no sirve para nada. Para nada. Vea, por ejemplo, acá hay un vídeo largo. El vídeo ya se está como moviendo lento, no entiendo. El celular llega a 10% y se empieza a poner lento. Pongo aquí el celular a la luz del sol, ya se recalentó. Si alguien me puede dar consejos para que mi batería no se siga bajando de esa forma tan efímera, me lo dice mi gracia, los quiero mucho.",es,NEG
2024-04-26,lo_malo_de_iphone,7400,https://www.tiktok.com/@dunfernando/video/7362342657785400581,,"#iphone,#iphonexs,#analizando,#analisando,#telefonos",True," analizando teléfono. Si tienes un iPhone XS, coño hermano, un iPhone XS en el año 2024, no lo recomiendo para nada. En principio no es la primera de ventajas de la batería, márico, esa batería no te dura nada. De pan, te puedo dar 4 o 5 horas y si tienes el porcentaje en 90%, puede decir que es casi lo mismo, no te dura un coño. El X, el XS literalmente es lo mismo, solamente cambia algo muy estúpido, pero es casi lo mismo. La cámara frontal es de muy buena calidad y la trasera también. La graeta de trato es mucho mejor que la de un XR, mil veces porque literalmente enfoca como no tienes idea. Y por lo general, ese teléfono en dispositivos, juegos y aplicaciones no puedo decir que uno es tan malo. Viene de 64, 128, 256 y obviamente yo lo recomendaré de 256 o que ronas un poquito más y te compro un equilibrado. El teléfono hoy en día mucha gente lo tiene, déjelo aquí en los comentarios, pues literalmente ese teléfono es un poquito antiguo, así que si tienes el derecho de cambiarlo, pues, fino. Pero si no, pues no te puedo criticar por eso, así que todo bien. Y como te lo único que hay de ventajas de teléfono es la batería, coño, márico, esa batería es un dolor de cabeza.",es,NEG
2023-08-14,lo_malo_de_iphone,140200,https://www.tiktok.com/@isa_marcial/video/7267263081741290758,,"#celulares,#smartphones,#smartwatch,#android,#tecnologia,#isamarcial,#review,#unboxing,#elrecuento,#noticias,#apple,#baterias,#appleecosystem,#iphone14pro",True," Múltiples usuarios han estado reportando muchas quejas con respecto a la batería de su iPhone 14 Pro Max y la degradación tan rápida que están viendo después de menos de un año de haber estrenado este celular. De modo que en X muchos usuarios se han quejado. Por ejemplo, el usuario Aron Solo dice que ahora su iPhone tiene 90% de la capacidad máxima. La página Apple Hub dice que tiene 89%. Otro usuario llamado Lord Siedman tiene 88% de la capacidad. Entonces la principal queja es que a menos de un año la batería se haya degradado tanto. Si tú tienes un iPhone 14 Pro o 14 Pro Max, dínos en los comentarios cuál es la capacidad máxima de tu batería todavía.",es,NEG
2020-05-01,lo_malo_de_iphone,83,https://www.tiktok.com/@luisito_fer14/video/6822051339468573957,,"#yoenlafiesta,#comedia",True, Thank you.,en,
2019-09-18,lo_malo_de_iphone,1735,https://www.tiktok.com/@maryshinys/video/6738206569214856454,,,True," These were the boys who were friends with Ruhutu and they were gigabytes lucky that their members 노래 was to consider doing it, even to see that the subscribe yeah I've already posted a list of folks whoマニュアルト 2500 200 and I've already uploaded another video please SUBSCRIBE until we see the next one",en,
2024-07-08,lo_malo_de_iphone,11,https://www.tiktok.com/@sergio.os.corona/video/7389396070448565510,,"#pyfツ,#pyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,#viral,#porti,#pyf",True, King of Rock! Rock!,en,
